Location,Coral.Species,SampleID,Source,Size.fraction,RunID,Ala13C,Gly13C,Thr13C,Ser13C,Val13C,Leu13C,Ile13C,Pro13C,Asp13C,Glx13C,Phe13C,Tyr13C,Lys13C,Site,group,group2
Red Sea,Plankton,Plankton_Shib_R2,McMahon et al. Oecologia 2013,>333um,NA,,,-8.99,,-19.79,-24.42,-15.83,,,,-22.68,,,,Plankton,Source
Red Sea,Plankton,Plankton_Shib_R3,McMahon et al. Oecologia 2013,>333um,NA,,,-9.13,,-19.09,-24.8,-16.1,,,,-23.73,,,,Plankton,Source
Red Sea,Plankton,Plankton_MarMar_R1,McMahon et al. Oecologia 2013,>333um,NA,,,-8.69,,-19.12,-23.72,-14.92,,,,-22.08,,,,Plankton,Source
Red Sea,Plankton,Plankton_MarMar_R2,McMahon et al. Oecologia 2013,>333um,NA,,,-8.36,,-21.15,-24.86,-17.16,,,,-22.86,,,,Plankton,Source
Red Sea,Plankton,Plankton_MarMar_R3,McMahon et al. Oecologia 2013,>333um,NA,,,-9.36,,-19.57,-23.36,-14.72,,,,-22.23,,,,Plankton,Source
Red Sea,Plankton,Plankton_Dohra_R1,McMahon et al. Oecologia 2013,>333um,NA,,,-9.25,,-20.44,-24.79,-14.78,,,,-22.55,,,,Plankton,Source
Red Sea,Plankton,Plankton_Dohra_R2,McMahon et al. Oecologia 2013,>333um,NA,,,-7.99,,-18.56,-24.19,-13.7,,,,-21.27,,,,Plankton,Source
Red Sea,Plankton,Plankton_Dohra_R3,McMahon et al. Oecologia 2013,>333um,NA,,,-8.71,,-20.37,-24.28,-14.87,,,,-22.17,,,,Plankton,Source
Red Sea,Acropora haraonis,Coral_Ron_R1,McMahon et al. Oecologia 2013,holobiont,NA,,,-1.2,,-21.89,-23.87,-7.45,,,,-19.55,,,,Holobiont,Holobiont
Red Sea,Acropora haraonis,Coral_Ron_R2,McMahon et al. Oecologia 2013,holobiont,NA,,,-1.83,,-22.43,-23.12,-7.62,,,,-18.82,,,,Holobiont,Holobiont
Red Sea,Acropora haraonis,Coral_Ron_R3,McMahon et al. Oecologia 2013,holobiont,NA,,,-2.32,,-22.01,-22.76,-8.35,,,,-19.56,,,,Holobiont,Holobiont
Red Sea,Acropora haraonis,Coral_LJ_R1,McMahon et al. Oecologia 2013,holobiont,NA,,,-3.12,,-20.79,-22.66,-8.65,,,,-18.56,,,,Holobiont,Holobiont
Red Sea,Acropora haraonis,Coral_LJ_R2,McMahon et al. Oecologia 2013,holobiont,NA,,,-4.18,,-21.59,-21.88,-10.58,,,,-19.01,,,,Holobiont,Holobiont
Red Sea,Acropora haraonis,Coral_LJ_R3,McMahon et al. Oecologia 2013,holobiont,NA,,,-4.92,,-21.09,-22.37,-8.77,,,,-18.5,,,,Holobiont,Holobiont
Red Sea,Acropora haraonis,Coral_Saut_R1,McMahon et al. Oecologia 2013,holobiont,NA,,,-4.33,,-21.31,-22.49,-10.47,,,,-19.79,,,,Holobiont,Holobiont
Red Sea,Acropora haraonis,Coral_Saut_R2,McMahon et al. Oecologia 2013,holobiont,NA,,,-3.27,,-22.69,-21.15,-8.15,,,,-21.97,,,,Holobiont,Holobiont
Red Sea,Acropora haraonis,Coral_Saut_R3,McMahon et al. Oecologia 2013,holobiont,NA,,,-3.1,,-22.87,-21,-9.97,,,,-22.16,,,,Holobiont,Holobiont
Red Sea,Acropora haraonis,Coral_Brown_R1,McMahon et al. Oecologia 2013,holobiont,NA,,,-2.22,,-21.88,-22.97,-8.35,,,,-18.99,,,,Holobiont,Holobiont
Red Sea,Acropora haraonis,Coral_Brown_R2,McMahon et al. Oecologia 2013,holobiont,NA,,,-1.77,,-20.63,-23,-7.33,,,,-20.3,,,,Holobiont,Holobiont
Red Sea,Acropora haraonis,Coral_Brown_R3,McMahon et al. Oecologia 2013,holobiont,NA,,,-2.42,,-21.46,-23.46,-7.95,,,,-18.76,,,,Holobiont,Holobiont
Red Sea,Acropora haraonis,Coral_Canyon_R1,McMahon et al. Oecologia 2013,holobiont,NA,,,-6.66,,-22.53,-23.07,-12.42,,,,-18.38,,,,Holobiont,Holobiont
Red Sea,Acropora haraonis,Coral_Canyon_R2,McMahon et al. Oecologia 2013,holobiont,NA,,,-4.16,,-20.85,-21.52,-11.12,,,,-17.84,,,,Holobiont,Holobiont
Red Sea,Acropora haraonis,Coral_Canyon_R3,McMahon et al. Oecologia 2013,holobiont,NA,,,-5.6,,-23.06,-21.76,-12.93,,,,-17.71,,,,Holobiont,Holobiont
Red Sea,Acropora haraonis,Coral_Shib_R1,McMahon et al. Oecologia 2013,holobiont,NA,,,-2.26,,-22.42,-20.99,-10.99,,,,-18.49,,,,Holobiont,Holobiont
Red Sea,Acropora haraonis,Coral_Shib_R2,McMahon et al. Oecologia 2013,holobiont,NA,,,-3.82,,-21.74,-21.37,-11.43,,,,-18.41,,,,Holobiont,Holobiont
Red Sea,Acropora haraonis,Coral_Shib_R3,McMahon et al. Oecologia 2013,holobiont,NA,,,-4.99,,-22.91,-22.14,-10.49,,,,-19.32,,,,Holobiont,Holobiont
Red Sea,Acropora haraonis,Coral_MarMar_R1,McMahon et al. Oecologia 2013,holobiont,NA,,,-3.5,,-21.85,-23.29,-9.21,,,,-21.22,,,,Holobiont,Holobiont
Red Sea,Acropora haraonis,Coral_MarMar_R2,McMahon et al. Oecologia 2013,holobiont,NA,,,-4.4,,-22.28,-24.18,-10.62,,,,-22.06,,,,Holobiont,Holobiont
Red Sea,Acropora haraonis,Coral_MarMar_R3,McMahon et al. Oecologia 2013,holobiont,NA,,,-5.83,,-22.15,-24.13,-9.43,,,,-21.28,,,,Holobiont,Holobiont
Red Sea,Acropora haraonis,Coral_Dohra_R1,McMahon et al. Oecologia 2013,holobiont,NA,,,-6.42,,-23.12,-24.72,-12.72,,,,-20.82,,,,Holobiont,Holobiont
Red Sea,Acropora haraonis,Coral_Dohra_R2,McMahon et al. Oecologia 2013,holobiont,NA,,,-4.99,,-21.69,-22.8,-10.1,,,,-18.18,,,,Holobiont,Holobiont
Red Sea,Acropora haraonis,Coral_Dohra_R3,McMahon et al. Oecologia 2013,holobiont,NA,,,-5.19,,-21.46,-21.8,-10.57,,,,-18.04,,,,Holobiont,Holobiont
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,C1,-13.6,-15.3,-10.4,,-24,-27.8,-27.7,,-12.8,-23.7,-24.9,-23.7,-18,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,C2,-22.6,-23.1,-19.5,,-32.8,-36,-28.9,,-16.2,-26.3,-34.6,-35,-23.8,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,C3,-11.6,-7.3,-5.9,,-20.5,-23.3,-17.3,,-12.9,-15.3,-19.8,-17.5,-13.4,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,C4,-13.1,-11.3,-10.1,,-24.2,-25.8,-20,,-12.2,-18.9,-24,-22.1,-13.8,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,D1,-9.7,-11.2,-2.7,,-13.8,-17.3,-10.2,,-11.1,-11.4,-18.1,-15.7,-8.8,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,D2,-7.4,-12,-2,,-16.8,-18.7,-11.5,,-9.1,-7.5,-19.6,-16,-11.1,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,D3,-10.3,-12.3,-7,,-19.7,-22.1,-16.5,,-16.2,-12.2,-20.6,-19.4,-15.8,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,D4,-16,-12.2,-10.8,,-22.9,-25.5,-16.1,,-17.7,-18.9,-23.8,-21.8,-15.2,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,D5,-1.3,5.5,-4.6,,-15.5,-19.3,-10.4,,-6.6,-7.4,-16,-14.4,-8.5,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,H1,-16.3,-13.5,-9.1,,-24.9,-27.2,-18.3,,-15.6,-15.9,-23.2,-22.3,-15.7,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,H2,-13.1,-19,-8.6,,-21.1,-23.8,-19.2,,-13.1,-19.7,-24.6,-22.6,-14.5,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,H3,-16.4,-19.6,-8.9,,-26.8,-31.4,-18.3,,-13.3,-16.7,-25,-22.7,-15.4,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,H4,-11.2,-11.8,-6.8,,-18.8,-20.5,-13.8,,-13.7,-15.9,-21.6,-19.6,-12,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,K1,-12.1,-7.1,-6.7,,-19.2,-23.7,-15.8,,-13,-15.6,-19.7,-16.8,-13,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,K2,-12.7,-7.9,-2.2,,-20.6,-23.3,-15.3,,-12.3,-14.3,-21.4,-19.4,-12.2,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,K3,-4.1,0.2,-8.1,,-13,-15.7,-10.4,,-5.7,-10,-15.9,-14.2,-5.2,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,K4,-5.5,-6.6,-4.2,,-15.3,-16.7,-11.4,,-7.5,-10.8,-15.7,-12.5,-7.7,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,K5,-13.8,-13.8,-6.4,,-20.4,-23.2,-16.3,,-14,-17.7,-22.2,-20.3,-13.9,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,K6,-9.6,-10.7,-7.1,,-15.9,-18.4,-11.4,,-13.4,-12.1,-18.4,-16.8,-10.5,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,N1,-17.4,-21.7,-11,,-26.4,-29.7,-21,,-18.9,-20.3,-27,-24.8,-18.1,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,N2,-17.4,-21.9,-11.2,,-27.2,-29.3,-20.6,,-18.2,-20.3,-26.8,-24.5,-18,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,N3,-17.4,-21.8,-10.7,,-27.1,-29.4,-19.8,,-17.8,-20.4,-26.9,-24.7,-17.9,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,X1,-17.2,-14.7,-13.6,,-30.2,-35.1,-26.7,,-16.5,-24.5,-31.9,-29.7,-20.7,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,X2,-16,-14.2,-10.7,,-28,-32.7,-22.8,,-17.4,-21.4,-30,-27.8,-19.2,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,X3,-16.3,-14.5,-9.6,,-23.9,-25.2,-19.3,,-18.3,-18.9,-25.5,-23.3,-16.4,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,X4,-3.2,-8.2,-1.3,,-14.4,-18.2,-11.1,,-6.1,-9.9,-16.1,-13,-6.2,,,
culture,Microalgae,culture,"Larsen et al., PLoS One, 2013",NA,Y1,-11.1,-11.8,-4.2,,-17.1,-19.3,-11.8,,-12.2,-15.9,-19.5,-17,-11.4,,,
Station Aloha,Plankton,Station Aloha,Hannides et al. LnO,200-500um,day 50 - 100m depth,-16.5,-11.7,-12.4,,-22.8,-25.4,-18.7,,-16.9,-15.5,-25.5,-24.1,-16.2,,,
Station Aloha,Plankton,Station Aloha,Hannides et al. LnO,500-1000um,day 50 - 100m depth,-16,-11,-11.4,,-23.5,-25.4,-17.2,,-18,-16.7,-27.1,-23.7,-17.1,,,
Station Aloha,Plankton,Station Aloha,Hannides et al. LnO,2000-5000um,day 50 - 100m depth,-14.5,-6.6,-10.7,,-22.5,-24.7,-17.4,,-15.6,-13.6,-25.1,-25.3,-15.4,,,
Station Aloha,POM,Station Aloha,Hannides et al. LnO,na,25m depth,-17.4,-11.9,-11.6,,-26.7,-25.3,-19.2,,-14.8,-17.3,-25.5,-23.3,-15.1,,,
Station Aloha,POM,Station Aloha,Hannides et al. LnO,na,75m depth,-19.2,-15.5,-14.8,,-19.1,-28.1,-21.8,,-17.4,-18.1,-27.8,-23.5,-18.5,,,
