"","Location","Fraction","ID","Leu.n","Ile.n","Phe.n","Thr.n","Val.n"
"99","culture","Microalgae",56,-4.98,0.82,-3.18,10.72,-3.38
"100","culture","Microalgae",57,-4.88,2.22,-5.68,9.72,-1.38
"101","culture","Microalgae",58,-4.98,2.22,-5.88,11.72,-3.08
"102","culture","Microalgae",59,-4.92,0.68,-3.42,10.18,-2.52
"103","culture","Microalgae",60,-5.68,3.72,-3.98,9.02,-3.08
"104","culture","Microalgae",61,-6.14,2.76,-2.84,8.56,-2.34
"105","culture","Microalgae",62,-6.66,2.24,-2.66,11.44,-4.36
"106","culture","Microalgae",63,-4.34,0.260000000000002,-5.14,10.86,-1.64
"107","culture","Microalgae",64,-9.32,3.78,-2.92,13.18,-4.72
"108","culture","Microalgae",65,-4.2,2.5,-5.3,9.5,-2.5
"109","culture","Microalgae",66,-6.68,1.22,-2.68,10.32,-2.18
"110","culture","Microalgae",67,-6.74,1.26,-4.84,14.36,-4.04
"111","culture","Microalgae",68,-3.08,2.22,-3.28,4.52,-0.380000000000001
"112","culture","Microalgae",69,-4.04,1.26,-3.04,8.46,-2.64
"113","culture","Microalgae",70,-5.5,1.4,-4.5,11.3,-2.7
"114","culture","Microalgae",71,-4.16,2.84,-4.16,7.14,-1.66
"115","culture","Microalgae",72,-6.68,2.02,-3.98,12.02,-3.38
"116","culture","Microalgae",73,-6.28,2.42,-3.78,11.82,-4.18
"117","culture","Microalgae",74,-6.62,2.98,-4.12,12.08,-4.32
"118","culture","Microalgae",75,-7.6,0.800000000000001,-4.4,13.9,-2.7
"119","culture","Microalgae",76,-7.86,2.04,-5.16,14.14,-3.16
"120","culture","Microalgae",77,-4.5,1.4,-4.8,11.1,-3.2
"121","culture","Microalgae",78,-5.98,1.12,-3.88,10.92,-2.18
"122","culture","Microalgae",79,-4.92,2.58,-5.12,10.18,-2.72
"123","Station Aloha","Plankton",80,-4.44,2.26,-4.54,8.56,-1.84
"124","Station Aloha","Plankton",81,-4.48,3.72,-6.18,9.52,-2.58
"125","Station Aloha","Plankton",82,-4.62,2.68,-5.02,9.38,-2.42
"126","Station Aloha","POM",83,-3.64,2.46,-3.84,10.06,-5.04
"127","Station Aloha","POM",84,-5.78,0.52,-5.48,7.52,3.22
"134","Hawaii","Plankton",85,-3.914,2.116,-0.954000000000001,6.026,-3.274
"135","Hawaii","Symbiont",86,-5.49,2.77,-0.370000000000001,8.34,-5.25
"136","Hawaii","Symbiont",87,-5.572,4.148,-0.861999999999998,8.918,-6.632
"137","Hawaii","Symbiont",88,-6.232,5.618,-2.482,8.498,-5.402
"138","Hawaii","Symbiont",89,-5.74,2.98,-1.59,11.25,-6.9
"139","Hawaii","Symbiont",90,-5.982,4.188,-1.152,9.168,-6.222
"140","Hawaii","Symbiont",91,-6.254,4.136,-1.184,10.146,-6.844
