,Location,Species,Fraction,Leu,Ile,Phe,Thr,Val
39,Palmyra,P meandrina,symb.Pal,-22.99,-10.68,-19.42,1.56,-20.17
40,Palmyra,P meandrina,symb.Pal,-22.11,-10.23,-20.13,0.75,-19.94
41,Palmyra,P meandrina,symb.Pal,-22.42,-9.42,-19.11,-0.49,-20.67
42,Palmyra,P meandrina,symb.Pal,-24.65,-10.29,-22.17,-3.04,-21.47
43,Palmyra,P meandrina,host.Pal,-22.92,-11.53,-18.85,-7.31,-21.1
44,Palmyra,P meandrina,host.Pal,-22.92,-7.9,-19.3,-4.41,-18
45,Palmyra,P meandrina,host.Pal,-24.81,-17.55,-20.97,-9.22,-17.99
46,Palmyra,P meandrina,host.Pal,-22.4,-13.66,-18.48,-5.5,-19.54
47,Palmyra,P meandrina,host.Pal,-24.65,-12.85,-21.22,-7.48,-21.13
48,Oahu,M capitata,host.HI,-24.87181818,-13.28318182,-18.23359375,-9.963636364,-23.75633333
49,Oahu,M capitata,host.HI,-25.06484848,-15.39681818,-20.02929688,-12.05580808,-25.288
50,Oahu,M capitata,symb.HI,-25.79090909,-17.53060606,-20.67447917,-11.95580808,-25.54816667
51,Oahu,M capitata,symb.HI,-26.20060606,-16.48090909,-21.49114583,-11.71035354,-27.2615
52,Oahu,M capitata,symb.HI,-23.44,-11.59,-19.69,-8.71,-22.61
53,Oahu,M capitata,host.HI,-25.76484848,-15.71333333,-20.43125,-14.11212121,-25.826
54,Oahu,plankton,plank.HI,-27.83515152,-21.81454545,-24.88385417,-17.8959596,-27.19666667
55,Oahu,M capitata,symb.HI,-25.67939394,-16.95636364,-21.53229167,-8.692929293,-26.83933333
56,Oahu,M capitata,symb.HI,-24.14075758,-13.96575758,-19.31393229,-8.987626263,-24.37733333
57,Oahu,M capitata,symb.HI,-24.37590909,-13.99242424,-19.31393229,-7.978535354,-24.96933333
58,Oahu,M capitata,host.HI,-23.71818182,-12.49757576,-20.02070313,-8.147979798,-23.11566667
59,Oahu,M capitata,host.HI,-23.10606061,-12.93272727,-19.09830729,-7.601515152,-22.42633333
60,Oahu,M capitata,host.HI,-25.62969697,-15.43818182,-21.8234375,-11.28888889,-25.13866667
61,RedSea,     Coral.holob,coral.holob,-23.3,-7.8,-19.3,-1.8,-22.1
62,RedSea,     Coral.holob,coral.holob,-22.3,-9.3,-18.7,-4.1,-21.2
63,RedSea,     Coral.holob,coral.holob,-21.5,-9.5,-21.3,-3.6,-22.3
64,RedSea,     Coral.holob,coral.holob,-23.1,-7.9,-19.3,-2.1,-21.3
65,RedSea,     Coral.holob,coral.holob,-22.1,-12.2,-18,-5.5,-22.1
66,RedSea,     Coral.holob,coral.holob,-21.5,-11,-18.7,-3.7,-22.4
67,RedSea,     Coral.holob,coral.holob,-23.9,-9.8,-21.5,-4.6,-22.1
68,RedSea,     Coral.holob,coral.holob,-23.1,-11.1,-19,-5.5,-22.1
69,RedSea,     Plankton,plank.redsea,-25.5,-17.8,-24.7,-9.6,-23.2
70,RedSea,     Plankton,plank.redsea,-26.6,-17.9,-24.9,-8,-23.2
71,RedSea,     Plankton,plank.redsea,-23.3,-14,-23.8,-7.7,-21
72,RedSea,     Plankton,plank.redsea,-24.8,-16.3,-23.8,-7.8,-22.9
73,RedSea,     Plankton,plank.redsea,-25.3,-16.6,-24.1,-10.4,-20.5
74,RedSea,     Plankton,plank.redsea,-24.8,-16.1,-23.4,-9.6,19.9
75,RedSea,     Plankton,plank.redsea,-24,-15.6,-22.4,-8.8,-19.9
76,RedSea,     Plankton,plank.redsea,-24.4,-14.4,-22,-8.6,-19.8
